Attr 4,Attr 4_BIN,Attr 5,Attr 5_BIN,Attr 6,Attr 6_BIN,Attr 7,Attr 7_BIN,Attr 8,Attr 8_BIN,Attr 9,Attr 9_BIN,Attr 10,Attr 10_BIN,Attr 11,Attr 11_BIN,Attr 12,Attr 12_BIN
-1.232692292,-1.2324181865,8.086085716,7.992001471,8.650055799,8.4722462495,-1.151363003,-1.1332763694999999,-0.819747452,-0.8188674125,-0.7841850709999999,-0.774336711,0.104210469,0.1207072805,0.8952594909999999,0.8730556300000001,-1631.283364,-1216.25749305
-2.122519533,-2.1328327265,6.03325802,6.0390827045,0.311881748,0.328933366,-0.104680444,-0.1297766525,-0.5095484029999999,-0.5263565295,0.039328487,-0.0193834175,0.8753760079999999,0.8730556300000001,0.553546037,0.5186736945,-1298.150952,-1216.25749305
0.77495735,0.7740598139999999,-1.689425265,-1.729824613,2.572264265,2.5782936835,0.200957257,0.25966284,-0.807639854,-0.8188674125,-0.794449031,-0.774336711,0.063565697,0.1207072805,0.895929038,0.8730556300000001,-1262.689545,-1216.25749305
-1.24275638,-1.2324181865,7.09757955,7.136930965,9.128809956,9.0515406715,-0.8124870240000001,-0.7926073204999999,-0.7841850709999999,-0.774336711,-0.410390624,-0.4196767410000001,0.703741669,0.7401630975,0.8844101000000001,0.8730556300000001,-1232.534225,-1216.25749305
-0.653696073,-0.596084293,7.671372539,7.5849543210000006,9.826127965,10.0364473975,0.262559359,0.25966284,0.723575298,0.7401630975,0.917790101,0.9152952350000001,0.468553394,0.5186736945,-0.525517883,-0.5263565295,-1178.199205,-1216.25749305
0.458235369,0.5100905965,-0.598584078,-0.7166068190000001,2.96471861,2.9565934455000003,1.169145818,1.114837687,0.421955944,0.38861314550000003,-0.07897035,-0.0193834175,-0.864866001,-0.865229896,-0.314161678,-0.2845544625,-1152.183908,-1216.25749305
1.252197344,1.19765733,4.824525819,4.8323275485,1.804032498,1.78451855,1.639888889,1.938283862,0.690344671,0.636355903,0.924438099,0.9152952350000001,0.504226617,0.5186736945,-0.564700454,-0.5263565295,-1152.071492,-1216.25749305
0.980339865,0.9685250350000001,-1.31448701,-1.2919021725,3.013540494,2.9565934455000003,-0.078467856,-0.1297766525,0.153189995,0.1207072805,0.660124945,0.636355903,0.901912299,0.9152952350000001,-0.043641734,-0.0193834175,-1135.524775,-1216.25749305
1.317290854,1.3516597525,4.064325753,4.046408583,1.608908727,1.5050163565,0.621815508,0.650595888,0.531840031,0.5186736945,0.917882784,0.9152952350000001,0.591822607,0.636355903,-0.425866363,-0.4196767410000001,-1113.1100279999996,-1216.25749305
-1.287859099,-1.2324181865,7.415198481,7.136930965,9.15087418,9.0515406715,-0.910337116,-0.971430646,-0.45764333,-0.4196767410000001,-0.7554488979999999,-0.774336711,-0.48943707,-0.5263565295,0.52564455,0.5186736945,-994.132339,-1216.25749305
